Site	Type	Left	Right	Strand	Transcription-Units
ypfG	Transcription-Units	2581734	2582777	-	ypfG
ypfGp3	Promoters	2582893	2582954	-	NA
ypfGp4	Promoters	2582880	2582941	-	NA
ypfH	Transcription-Units	2593072	2593770	-	ypfH
ypfJ-tmcA	Transcription-Units	2593844	2596737	-	ypfJ-tmcA
ypfM	Transcription-Units	2590970	2590866	-	ypfM
ypfMp	Promoters	2590970	2591031	-	ypfM
ypfMp2	Promoters	2591070	2591131	-	NA
yphA	Transcription-Units	2673346	2673768	+	yphA
yphBp2	Promoters	2674795	2674856	-	NA
yphBp3	Promoters	2674788	2674849	-	NA
yphCB	Transcription-Units	2673816	2675761	-	yphCB
yphFED	Transcription-Units	2675827	2679367	-	yphFED
yphG	Transcription-Units	2679464	2682745	-	yphG
yphH	Transcription-Units	2682863	2684056	+	yphH
ypjA	Transcription-Units	2778146	2782726	-	ypjA
ypjAp8	Promoters	2782822	2782883	-	NA
ypjB	Transcription-Units	2784818	2784429	-	ypjB
ypjBp	Promoters	2784818	2784879	-	ypjB
ypjC	Transcription-Units	2784529	2785011	-	ypjC
ypjD	Transcription-Units	2747962	2748753	+	ypjD
ypjDp4	Promoters	2747785	2747846	+	NA
ypjDp5	Promoters	2747869	2747930	+	NA
yqaBA	Transcription-Units	2816512	2817503	-	yqaBA
yqaE	Transcription-Units	2797085	2797028	-	yqaE
yqaE-kbp	Transcription-Units	2797085	2797028	-	yqaE-kbp
yqaEp	Promoters	2797085	2797146	-	yqaE-kbp // yqaE
yqcAp5	Promoters	2923050	2923111	-	NA
yqcC-truC-yqcA	Transcription-Units	2922535	2924113	-	yqcC-truC-yqcA
yqcE-ygcE	Transcription-Units	2900592	2903374	+	yqcE-ygcE
yqcEp6	Promoters	2900411	2900472	+	NA
yqeA	Transcription-Units	3011461	3012393	+	yqeA
yqeB	Transcription-Units	3012614	3014239	-	yqeB
yqeC	Transcription-Units	3014287	3015057	-	yqeC
yqeCp5	Promoters	3015234	3015295	-	NA
yqeCp7	Promoters	3015167	3015228	-	NA
yqeF	Transcription-Units	2984411	2985592	-	yqeF
yqeFp1	Promoters	2985624	2985685	-	NA
yqeFp11	Promoters	2985809	2985870	-	NA
yqeFp8	Promoters	2985701	2985762	-	NA
yqeG	Transcription-Units	2985847	2987076	+	yqeG
yqeGp1	Promoters	2985658	2985719	+	NA
yqeGp5	Promoters	2985680	2985741	+	NA
yqeGp8	Promoters	2985758	2985819	+	NA
yqeH	Transcription-Units	2987536	2988168	+	yqeH
yqeHp4	Promoters	2987452	2987513	+	NA
yqeHp5	Promoters	2987447	2987508	+	NA
yqeIJ	Transcription-Units	2988502	2989786	+	yqeIJ
yqeIp1	Promoters	2988283	2988344	+	NA
yqeIp5	Promoters	2988375	2988436	+	NA
yqeIp6	Promoters	2988370	2988431	+	NA
yqeIp7	Promoters	2988362	2988423	+	NA
yqeIp8	Promoters	2988354	2988415	+	NA
yqeK	Transcription-Units	2989935	2990360	-	yqeK
yqeKp11	Promoters	2990368	2990429	-	NA
yqeKp12	Promoters	2990570	2990631	-	NA
yqeKp9	Promoters	2990383	2990444	-	NA
yqfA	Transcription-Units	3042489	3043148	-	yqfA
yqfAp10	Promoters	3043364	3043425	-	NA
yqfAp9	Promoters	3043256	3043317	-	NA
yqfB	Transcription-Units	3043312	3043623	-	yqfB
yqfE	Transcription-Units	3059381	3059611	-	yqfE
yqgA	Transcription-Units	3109553	3110260	+	yqgA
yqgAp1	Promoters	3109473	3109534	+	NA
yqgAp4	Promoters	3109460	3109521	+	NA
yqgB	Transcription-Units	3085920	3086051	-	yqgB
yqgBp1	Promoters	3086250	3086311	-	NA
yqgBp4	Promoters	3086182	3086243	-	NA
yqgC	Transcription-Units	3086187	3086402	+	yqgC
yqgD	Transcription-Units	3086399	3086650	-	yqgD
yqgEF	Transcription-Units	3092937	3093916	+	yqgEF
yqgEp3	Promoters	3092823	3092884	+	NA
yqhA	Transcription-Units	3148977	3149471	-	yqhA
yqhAp7	Promoters	3149575	3149636	-	NA
yqhAp8	Promoters	3149498	3149559	-	NA
yqhC	Transcription-Units	3154262	3155218	-	yqhC
YqhC DNA-binding-site 52.5 bases upstream of yqhDp	DNA-Binding-Sites	3155238	3155262	+	yqhD-dkgA
YqhC DNA-binding-site 73.5 bases upstream of yqhDp	DNA-Binding-Sites	3155217	3155241	+	yqhD-dkgA
yqhCp1	Promoters	3155384	3155445	-	NA
yqhD-dkgA	Transcription-Units	3155302	3157450	+	yqhD-dkgA
yqhDp	Promoters	3155241	3155302	+	yqhD-dkgA
yqhG	Transcription-Units	3157545	3158576	+	yqhG
yqhGp	Promoters	3157484	3157545	+	yqhG
yqhH	Transcription-Units	3158627	3158884	+	yqhH
yqhHp4	Promoters	3158360	3158421	+	NA
yqiCp1	Promoters	3184770	3184831	+	NA
yqiJK	Transcription-Units	3192208	3194525	+	yqiJK
yqiJp7	Promoters	3191993	3192054	+	NA
yqiJp8	Promoters	3191994	3192055	+	NA
yqjA-mzrA	Transcription-Units	3247548	3248822	+	yqjA-mzrA
yqjA-mzrA	Transcription-Units	3247643	3248822	+	yqjA-mzrA
yqjAp1	Promoters	3247487	3247548	+	yqjA-mzrA
yqjAp2	Promoters	3247582	3247643	+	yqjA-mzrA
yqjCDEK	Transcription-Units	3248969	3250376	+	yqjCDEK
yqjF	Transcription-Units	3250562	3250954	+	yqjF
yqjFp2	Promoters	3250405	3250466	+	NA
yqjFp3	Promoters	3250411	3250472	+	NA
yqjFp4	Promoters	3250414	3250475	+	NA
yqjG	Transcription-Units	3251024	3252010	+	yqjG
yqjGp2	Promoters	3250913	3250974	+	NA
yqjHp	Promoters	3216538	3216599	-	nfeF
yqjHp4	Promoters	3216539	3216600	-	NA
yqjHp5	Promoters	3216536	3216597	-	NA
yqjI	Transcription-Units	3216753	3217402	+	yqjI
yqjIp	Promoters	3216692	3216753	+	yqjI
yraH	Transcription-Units	3287426	3288010	+	yraH
yraHp10	Promoters	3287301	3287362	+	NA
yraHp11	Promoters	3287217	3287278	+	NA
yraHp4	Promoters	3287304	3287365	+	NA
yraHp5	Promoters	3287344	3287405	+	NA
yraHp6	Promoters	3287230	3287291	+	NA
yraHp6	Promoters	3287230	3287291	+	NA
yraHp7	Promoters	3287303	3287364	+	NA
yraHp8	Promoters	3287215	3287276	+	NA
yraHp9	Promoters	3287340	3287401	+	NA
yraIJK	Transcription-Units	3288090	3292432	+	yraIJK
yraL	Transcription-Units	3292475	3293335	-	yraL
yraM	Transcription-Units	3293400	3295436	+	yraM
yraN	Transcription-Units	3295394	3295789	+	yraN
yraP	Transcription-Units	3296072	3296984	+	yraP
yraP	Transcription-Units	3296349	3296984	+	yraP
yraPp	Promoters	3296288	3296349	+	yraP
yraPp2	Promoters	3296011	3296072	+	yraP
yraQ	Transcription-Units	3297098	3298138	-	yraQ
yraQp3	Promoters	3298174	3298235	-	NA
yraQp4	Promoters	3298207	3298268	-	NA
yraR	Transcription-Units	3298897	3298846	-	yraR
yraRp	Promoters	3298897	3298958	-	yraR
yraRp1	Promoters	3299012	3299073	-	NA
yraRp6	Promoters	3298923	3298984	-	NA
yrbG-kdsD	Transcription-Units	3340211	3342252	+	yrbG-kdsD
yrbG-kdsDC-lptCAB	Transcription-Units	3340211	3344669	+	yrbG-kdsDC-lptCAB
yrbGp	Promoters	3340150	3340211	+	yrbG-kdsDC-lptCAB // yrbG-kdsD
yrbL	Transcription-Units	3348421	3349084	+	yrbL
yrbLp	Promoters	3348360	3348421	+	yrbL
yrbN-deaD	Transcription-Units	3308086	3307933	-	yrbN-deaD
yrbN-deaD	Transcription-Units	3308698	3307933	-	yrbN-deaD
yrbNp1	Promoters	3308086	3308147	-	yrbN-deaD
yrbNp2	Promoters	3308698	3308759	-	yrbN-deaD
yrdA	Transcription-Units	3429236	3429790	+	yrdA
yrdBp1	Promoters	3430062	3430123	-	NA
yrdBp4	Promoters	3430088	3430149	-	NA
yrdD-rimN-aroE-yrdB	Transcription-Units	3429766	3431962	-	yrdD-rimN-aroE-yrdB
yrfFp10	Promoters	3526364	3526425	+	NA
yrfFp11	Promoters	3526258	3526319	+	NA
yrfFp12	Promoters	3526342	3526403	+	NA
yrfFp6	Promoters	3526213	3526274	+	NA
yrfG-hslR	Transcription-Units	3528669	3529749	+	yrfG-hslR
yrhB	Transcription-Units	3584759	3585043	+	yrhB
yrhBp7	Promoters	3584673	3584734	+	NA
yrhBp9	Promoters	3584659	3584720	+	NA
yrhC	Transcription-Units	3623887	3624132	+	yrhC
ysaA	Transcription-Units	3741109	3741582	-	ysaA
ysaB	Transcription-Units	3725413	3725712	-	ysaB
ysaBp1	Promoters	3725902	3725963	-	NA
ysgA	Transcription-Units	4016343	4016169	-	ysgA
ysgAp	Promoters	4016343	4016404	-	ysgA
ytfA	Transcription-Units	4427694	4428095	+	ytfA
ytfB	Transcription-Units	4428819	4428717	-	ytfB
ytfBp	Promoters	4428819	4428880	-	ytfB
ytfE	Transcription-Units	4432009	4431983	-	ytfE
ytfEp	Promoters	4432009	4432070	-	ytfE
ytfF	Transcription-Units	4432091	4433056	-	ytfF
ytfFp5	Promoters	4433148	4433209	-	NA
ytfFp6	Promoters	4433131	4433192	-	NA
ytfH	Transcription-Units	4434113	4434493	+	ytfH
ytfHp5	Promoters	4434021	4434082	+	NA
ytfHp6	Promoters	4434043	4434104	+	NA
ytfI	Transcription-Units	4437707	4438645	+	ytfI
ytfIp10	Promoters	4437610	4437671	+	NA
ytfIp11	Promoters	4437556	4437617	+	NA
ytfIp4	Promoters	4437612	4437673	+	NA
ytfIp9	Promoters	4437641	4437702	+	NA
ytfJ	Transcription-Units	4439286	4439262	-	ytfJ
ytfJp	Promoters	4439286	4439347	-	ytfJ
ytfK	Transcription-Units	4439511	4439793	+	ytfK
ytfKp	Promoters	4439450	4439511	+	ytfK
ytfL	Transcription-Units	4439872	4441215	-	ytfL
ytfLp3	Promoters	4441321	4441382	-	NA
ytfQp6	Promoters	4449756	4449817	+	NA
ytfQRT-yjfF	Transcription-Units	4449962	4454578	+	ytfQRT-yjfF
ytjA	Transcription-Units	4612128	4612289	+	ytjA
ytjB-lplA	Transcription-Units	4624799	4624789	-	ytjB-lplA
ytjBp	Promoters	4624799	4624860	-	ytjB-lplA
ytjC	Transcription-Units	4633797	4634444	+	ytjC
yzcX	Transcription-Units	3993850	3994335	+	yzcX
yzfA	Transcription-Units	4448294	4448245	-	yzfA
yzfAp2	Promoters	4448294	4448355	-	yzfA
yzgL	Transcription-Units	3563724	3564005	-	yzgL
zapA	Transcription-Units	3055612	3055941	+	zapA
zapAp3	Promoters	3055490	3055551	+	NA
zapBp1	Promoters	4118325	4118386	+	NA
zapC	Transcription-Units	1005952	1006494	+	zapC
zapE	Transcription-Units	3378870	3379997	-	zapE
zinT	Transcription-Units	2041346	2042025	+	zinT
zinTp	Promoters	2041285	2041346	+	zinT
zipA	Transcription-Units	2530247	2531233	-	zipA
zipAp9	Promoters	2531407	2531468	-	NA
zitB	Transcription-Units	783882	784823	-	zitB
zitBp1	Promoters	784848	784909	-	NA
zitBp2	Promoters	784858	784919	-	NA
zntA	Transcription-Units	3606422	3608649	+	zntA
zntAp	Promoters	3606361	3606422	+	zntA
zntB	Transcription-Units	1408024	1409033	+	zntB
zntBp	Promoters	1407963	1408024	+	zntB
ZntR-Zn DNA-binding-site 24.5 bases upstream of zntAp	DNA-Binding-Sites	3606387	3606409	+	zntA
zntRp2	Promoters	3439168	3439229	-	NA
znuA	Transcription-Units	1942661	1942583	-	znuA
znuAp	Promoters	1942661	1942722	-	znuA
znuCB	Transcription-Units	1942634	1944199	+	znuCB
znuCp	Promoters	1942573	1942634	+	znuCB
zraP	Transcription-Units	4201712	4201688	-	zraP
zraPp	Promoters	4201712	4201773	-	zraP
ZraR-Pasp56 DNA-binding-site 115 bases upstream of zraSp	DNA-Binding-Sites	4201782	4201799	+	zraSR // zraP
ZraR-Pasp56 DNA-binding-site 63.5 bases downstream of cspBp	DNA-Binding-Sites	1641644	1641662	-	cspB
ZraR-Pasp56 DNA-binding-site 86 bases upstream of zraSp	DNA-Binding-Sites	4201811	4201828	+	zraSR // zraP
ZraR-Pasp56 DNA-binding-site regulating yjjY	DNA-Binding-Sites	4640231	4640249	+	yjjY
ZraR-Pasp56 DNA-binding-site regulating yrdD-rimN-aroE-yrdB	DNA-Binding-Sites	3431988	3432006	-	yrdD-rimN-aroE-yrdB
zraSp	Promoters	4201844	4201905	+	zraSR
zraSR	Transcription-Units	4201905	4204645	+	zraSR
zupT	Transcription-Units	3182433	3183323	+	zupT
zupTp	Promoters	3182372	3182433	+	zupT
zur	Transcription-Units	4259488	4260003	-	zur
zurp6	Promoters	4260141	4260202	-	NA
zurp7	Promoters	4260114	4260175	-	NA
zwf	Transcription-Units	1936376	1936314	-	zwf
zwfp	Promoters	1936376	1936437	-	zwf
thrLp	BOX_10	138	143	+	NA
thrLp	BOX_35	111	116	+	NA
yaaXp4	BOX_10	5018	5023	+	NA
yaaXp4	BOX_35	4991	4996	+	NA
yaaAp3	BOX_10	6594	6600	-	NA
yaaAp3	BOX_35	6619	6625	-	NA
yaaAp5	BOX_10	6620	6625	-	NA
yaaAp5	BOX_35	6645	6650	-	NA
yaaJp4	BOX_10	8023	8028	-	NA
yaaJp4	BOX_35	8045	8050	-	NA
yaaWp3	BOX_10	11548	11553	-	NA
yaaWp3	BOX_35	11570	11576	-	NA
yaaIp4	BOX_10	11831	11836	-	NA
yaaIp4	BOX_35	11854	11859	-	NA
yaaIp3	BOX_10	11918	11923	-	NA
yaaIp3	BOX_35	11939	11944	-	NA
yaaIp2	BOX_10	11944	11949	-	NA
yaaIp2	BOX_35	11968	11973	-	NA
dnaKp1	BOX_10	12033	12038	+	NA
dnaKp1	BOX_35	12014	12019	+	NA
dnaKp2	BOX_10	12108	12113	+	NA
dnaKp2	BOX_35	12089	12094	+	NA
dnaKp3	BOX_10	12127	12132	+	NA
dnaKp3	BOX_35	12109	12114	+	NA
insLp5	BOX_10	15369	15374	+	NA
insLp5	BOX_35	15348	15353	+	NA
insLp6	BOX_10	15423	15430	+	NA
insLp6	BOX_35	15402	15407	+	NA
sokCp	BOX_10	16940	16945	+	NA
sokCp	BOX_35	16917	16922	+	NA
hokCp4	BOX_10	16956	16961	-	NA
hokCp4	BOX_35	16980	16985	-	NA
nhaAp2	BOX_10	17303	17313	+	NA
nhaAp2	BOX_35	17286	17291	+	NA
nhaAp1	BOX_10	17445	17450	+	NA
nhaAp1	BOX_35	17424	17429	+	NA
ribFp	BOX_10	21372	21377	+	NA
ribFp	BOX_35	21349	21354	+	NA
ileSp1	BOX_10	21822	21827	+	NA
ileSp1	BOX_35	21798	21803	+	NA
ileSp3	BOX_10	22214	22219	+	NA
ileSp3	BOX_35	22194	22199	+	NA
lspAp	BOX_10	25002	25007	+	NA
lspAp	BOX_35	24980	24985	+	NA
dapBp2	BOX_10	28275	28280	+	NA
dapBp2	BOX_35	28253	28258	+	NA
dapBp1	BOX_10	28331	28336	+	NA
dapBp1	BOX_35	28307	28312	+	NA
carAp1	BOX_10	29539	29544	+	NA
carAp1	BOX_35	29516	29521	+	NA
carAp2	BOX_10	29609	29614	+	NA
carAp2	BOX_35	29585	29590	+	NA
caiFp	BOX_10	34206	34211	+	NA
caiFp	BOX_35	34179	34184	+	NA
caiEp7	BOX_10	35405	35412	-	NA
caiEp7	BOX_35	35427	35432	-	NA
caiEp5	BOX_10	35446	35451	-	NA
caiEp5	BOX_35	35467	35473	-	NA
caiEp3	BOX_10	35505	35512	-	NA
caiEp3	BOX_35	35528	35533	-	NA
caiTp	BOX_10	42044	42049	-	NA
caiTp	BOX_35	42071	42076	-	NA
fixAp	BOX_10	42313	42318	+	NA
fixAp	BOX_35	42290	42295	+	NA
yaaUp	BOX_10	45581	45585	+	NA
yaaUp	BOX_35	45569	45574	+	NA
kefFp2	BOX_10	47068	47073	+	NA
kefFp2	BOX_35	47048	47054	+	NA
folAp	BOX_10	49787	49792	+	NA
folAp	BOX_35	49763	49768	+	NA
apaHp4	BOX_10	51298	51304	-	NA
apaHp4	BOX_35	51324	51330	-	NA
impp1	BOX_10	57163	57168	-	NA
impp1	BOX_35	57187	57192	-	NA
impp2	BOX_10	57249	57254	-	NA
impp2	BOX_35	57276	57281	-	NA
djlAp3	BOX_10	57258	57263	+	NA
djlAp3	BOX_35	57236	57241	+	NA
impp3	BOX_10	57340	57344	-	NA
impp3	BOX_35	57362	57367	-	NA
rluAp1	BOX_10	60456	60462	-	NA
rluAp1	BOX_35	60479	60485	-	NA
rapAp	BOX_10	63364	63369	-	NA
rapAp	BOX_35	63391	63396	-	NA
rapAp2	BOX_10	63598	63603	-	NA
rapAp2	BOX_35	63618	63623	-	NA
hepAp2	BOX_10	63598	63603	-	NA
hepAp2	BOX_35	63619	63624	-	NA
polBp	BOX_10	65810	65815	-	NA
polBp	BOX_35	65832	65837	-	NA
araBp	BOX_10	70084	70089	-	NA
araBp	BOX_35	70108	70113	-	NA
araCp	BOX_10	70209	70214	+	NA
araCp	BOX_35	70186	70191	+	NA
yabIp	BOX_10	71258	71266	+	NA
thiQp2	BOX_10	73091	73096	-	NA
thiQp2	BOX_35	73114	73119	-	NA
sgrRp	BOX_10	77344	77349	-	NA
sgrRp	BOX_35	77371	77376	-	NA
sgrSp2	BOX_10	77349	77359	+	NA
sgrSp2	BOX_35	77332	77337	+	NA
sgrSp	BOX_10	77354	77359	+	NA
sgrSp	BOX_35	77332	77337	+	NA
leuDp4	BOX_10	79599	79605	-	NA
leuDp4	BOX_35	79621	79627	-	NA
leuLp	BOX_10	83743	83748	-	NA
leuLp	BOX_35	83766	83771	-	NA
leuOp	BOX_10	84175	84180	+	NA
leuOp	BOX_35	84152	84157	+	NA
ilvIp4	BOX_10	85407	85412	+	NA
ilvIp4	BOX_35	85384	85389	+	NA
ilvIp3	BOX_10	85439	85444	+	NA
ilvIp3	BOX_35	85416	85421	+	NA
ilvIp2	BOX_10	85528	85533	+	NA
ilvIp2	BOX_35	85505	85510	+	NA
ilvIHp1	BOX_10	85586	85591	+	NA
ilvIHp1	BOX_35	85563	85568	+	NA
fruRp8	BOX_10	87937	87942	+	NA
fruRp8	BOX_35	87919	87925	+	NA
mraZp	BOX_10	89588	89593	+	NA
mraZp	BOX_35	89563	89568	+	NA
ftsQp2	BOX_10	102727	102737	+	NA
ftsQp2	BOX_35	102708	102713	+	NA
ftsQp	BOX_10	102855	102865	+	NA
ftsQp	BOX_35	102838	102843	+	NA
ftsQp1	BOX_10	102860	102865	+	NA
ftsQp1	BOX_35	102839	102844	+	NA
ftsAp1	BOX_10	103548	103553	+	NA
ftsAp1	BOX_35	103525	103530	+	NA
lpxCp1	BOX_10	106494	106499	+	NA
lpxCp1	BOX_35	106471	106476	+	NA
ppdDp	BOX_10	117711	117716	-	NA
ppdDp	BOX_35	117735	117740	-	NA
ampDp5	BOX_10	118669	118675	+	NA
ampDp5	BOX_35	118648	118654	+	NA
aroPp2	BOX_10	121654	121659	-	NA
aroPp2	BOX_35	121678	121683	-	NA
aroPp1	BOX_10	121683	121688	-	NA
aroPp1	BOX_35	121706	121711	-	NA
pdhRp2	BOX_10	122017	122027	+	NA
pdhRp2	BOX_35	121997	122002	+	NA
pdhRp	BOX_10	122022	122027	+	NA
pdhRp	BOX_35	121999	122004	+	NA
aceEp2	BOX_10	122951	122961	+	NA
aceEp2	BOX_35	122934	122939	+	NA
aceEp	BOX_10	122956	122961	+	NA
aceEp	BOX_35	122934	122939	+	NA
lpdAp	BOX_10	127705	127710	+	NA
lpdAp	BOX_35	127683	127688	+	NA
yacHp3	BOX_10	131314	131320	-	NA
yacHp3	BOX_35	131339	131345	-	NA
yacHp5	BOX_10	131472	131477	-	NA
yacHp5	BOX_35	131493	131498	-	NA
acnBp	BOX_10	131507	131512	+	NA
acnBp	BOX_35	131484	131489	+	NA
speDp	BOX_10	135724	135729	-	NA
speDp	BOX_35	135750	135755	-	NA
speEp	BOX_10	136510	136515	-	NA
speEp	BOX_35	136539	136544	-	NA
yacCp	BOX_10	136947	136952	-	NA
yacCp	BOX_35	136974	136979	-	NA
gcdp1	BOX_10	141269	141274	-	NA
gcdp1	BOX_35	141293	141298	-	NA
hptp	BOX_10	141348	141353	+	NA
hptp	BOX_35	141323	141328	+	NA
yadEp3	BOX_10	144952	144958	+	NA
yadEp3	BOX_35	144927	144933	+	NA
yadEp4	BOX_10	145041	145048	+	NA
panDp2	BOX_10	146761	146766	-	NA
panDp2	BOX_35	146784	146789	-	NA
yadDp3	BOX_10	146887	146892	+	NA
yadDp3	BOX_35	146861	146866	+	NA
yadDp5	BOX_10	146946	146951	+	NA
yadDp5	BOX_35	146925	146931	+	NA
yadDp4	BOX_10	146948	146953	+	NA
yadDp4	BOX_35	146925	146931	+	NA
panCp4	BOX_10	148916	148921	-	NA
panCp4	BOX_35	148941	148946	-	NA
panCp2	BOX_10	148926	148932	-	NA
panCp2	BOX_35	148952	148958	-	NA
panBp	BOX_10	149638	149643	-	NA
panBp	BOX_35	149660	149665	-	NA
htrEp5	BOX_10	155444	155449	-	NA
htrEp5	BOX_35	155469	155474	-	NA
htrEp1	BOX_10	155523	155527	-	NA
htrEp1	BOX_35	155537	155542	-	NA
yadVp3	BOX_10	156221	156226	-	NA
yadVp3	BOX_35	156247	156252	-	NA
yadVp2	BOX_10	156233	156243	-	NA
yadVp2	BOX_35	156258	156263	-	NA
yadVp1	BOX_10	156236	156241	-	NA
yadVp1	BOX_35	156263	156268	-	NA
yadNp1	BOX_10	156989	156995	-	NA
yadNp1	BOX_35	157012	157018	-	NA
yadNp8	BOX_10	157037	157042	-	NA
yadNp8	BOX_35	157058	157063	-	NA
yadNp7	BOX_10	157062	157067	-	NA
yadNp7	BOX_35	157083	157088	-	NA
pcnBp1	BOX_10	159162	159167	-	NA
pcnBp1	BOX_35	159187	159192	-	NA
pcnBp	BOX_10	159178	159188	-	NA
pcnBp	BOX_35	159200	159205	-	NA
pcnBp3	BOX_10	159178	159183	-	NA
pcnBp3	BOX_35	159201	159206	-	NA
pcnBp2	BOX_10	159203	159208	-	NA
pcnBp2	BOX_35	159230	159235	-	NA
pcnBp4	BOX_10	159397	159407	-	NA
pcnBp4	BOX_35	159420	159425	-	NA
gluQp1	BOX_10	160149	160155	-	NA
gluQp1	BOX_35	160173	160179	-	NA
dksAp2	BOX_10	160665	160670	-	NA
dksAp2	BOX_35	160688	160693	-	NA
dksAp3	BOX_10	160759	160764	-	NA
dksAp3	BOX_35	160782	160787	-	NA
sfsAp	BOX_10	161521	161526	-	NA
sfsAp	BOX_35	161544	161549	-	NA
hrpBp2	BOX_10	162062	162069	+	NA
fhuAp	BOX_10	167430	167435	+	NA
fhuAp	BOX_35	167409	167414	+	NA
hemLp1	BOX_10	174909	174916	-	NA
hemLp1	BOX_35	174931	174935	-	NA
hemLp	BOX_10	174929	174936	-	NA
hemLp	BOX_35	174952	174956	-	NA
hemLp2	BOX_10	174948	174955	-	NA
hemLp2	BOX_35	174970	174974	-	NA
clcAp10	BOX_10	175041	175046	+	NA
clcAp10	BOX_35	175018	175023	+	NA
yadSp6	BOX_10	177705	177710	-	NA
yadSp6	BOX_35	177727	177732	-	NA
yadSp7	BOX_10	177764	177770	-	NA
yadSp7	BOX_35	177785	177791	-	NA
yadSp5	BOX_10	177792	177797	-	NA
yadSp5	BOX_35	177817	177822	-	NA
mtnp2	BOX_10	179188	179198	-	NA
mtnp2	BOX_35	179211	179216	-	NA
mtnp	BOX_10	179188	179193	-	NA
mtnp	BOX_35	179212	179217	-	NA
degPp	BOX_10	180834	180838	+	NA
degPp	BOX_35	180812	180817	+	NA
dapDp	BOX_10	185987	185992	-	NA
dapDp	BOX_35	186008	186013	-	NA
rpsBp	BOX_10	189700	189705	+	NA
rpsBp	BOX_35	189676	189681	+	NA
pyrHp	BOX_10	191800	191805	+	NA
pyrHp	BOX_35	191774	191779	+	NA
frrp3	BOX_10	192802	192807	+	NA
frrp3	BOX_35	192776	192781	+	NA
frrp	BOX_10	192802	192807	+	NA
frrp	BOX_35	192776	192781	+	NA
frrp6	BOX_10	192837	192843	+	NA
frrp6	BOX_35	192811	192817	+	NA
dxrp3	BOX_10	193325	193330	+	NA
dxrp3	BOX_35	193298	193303	+	NA
dxrp4	BOX_10	193325	193332	+	NA
dxrp4	BOX_35	193305	193310	+	NA
dxrp5	BOX_10	193399	193405	+	NA
dxrp5	BOX_35	193378	193384	+	NA
dxrp1	BOX_10	193460	193466	+	NA
dxrp1	BOX_35	193435	193441	+	NA
cdsAp3	BOX_10	195545	195550	+	NA
cdsAp3	BOX_35	195520	195525	+	NA
cdsAp2	BOX_10	195550	195555	+	NA
cdsAp2	BOX_35	195528	195533	+	NA
rsePp	BOX_10	196462	196466	+	NA
rsePp	BOX_35	196439	196444	+	NA
bamAp2	BOX_10	197015	197019	+	NA
bamAp2	BOX_35	196993	196998	+	NA
bamAp	BOX_10	197813	197817	+	NA
bamAp	BOX_35	197790	197795	+	NA
hlpAp	BOX_10	200442	200446	+	NA
hlpAp	BOX_35	200420	200425	+	NA
lpxDp	BOX_10	200949	200953	+	NA
lpxDp	BOX_35	200928	200933	+	NA
accAp	BOX_10	208399	208404	+	NA
accAp	BOX_35	208376	208381	+	NA
yaeRp3	BOX_10	211846	211851	+	NA
yaeRp3	BOX_35	211822	211827	+	NA
yaeQp3	BOX_10	214077	214083	+	NA
yaeQp3	BOX_35	214055	214061	+	NA
yaeQp6	BOX_10	214183	214188	+	NA
yaeQp6	BOX_35	214160	214165	+	NA
yaeFp1	BOX_10	217141	217147	-	NA
yaeFp1	BOX_35	217165	217171	-	NA
proSp	BOX_10	218843	218848	-	NA
proSp	BOX_35	218864	218869	-	NA
metNp	BOX_10	222722	222727	-	NA
metNp	BOX_35	222745	222750	-	NA
rrsHp1	BOX_10	223471	223476	+	NA
rrsHp	BOX_10	223471	223476	+	NA
rrsHp2	BOX_10	223581	223586	+	NA
dkgBp	BOX_10	229087	229097	+	NA
dkgBp	BOX_35	229070	229075	+	NA
yafDp	BOX_10	231057	231062	+	NA
yafDp	BOX_35	231037	231042	+	NA
yafCp6	BOX_10	231088	231093	-	NA
yafCp6	BOX_35	231108	231114	-	NA
mltDp4	BOX_10	233988	233993	-	NA
mltDp4	BOX_35	234011	234016	-	NA
mltDp3	BOX_10	234031	234036	-	NA
mltDp3	BOX_35	234056	234061	-	NA
yafSp2	BOX_10	234773	234778	+	NA
yafSp2	BOX_35	234748	234753	+	NA
gloBp5	BOX_10	234932	234937	-	NA
gloBp5	BOX_35	234959	234964	-	NA
aspVp	BOX_10	236897	236902	+	NA
aspVp	BOX_35	236874	236879	+	NA
yafTp4	BOX_10	237225	237230	+	NA
yafTp4	BOX_35	237204	237209	+	NA
yafTp5	BOX_10	237250	237255	+	NA
yafTp5	BOX_35	237229	237234	+	NA
yafTp6	BOX_10	237268	237273	+	NA
yafTp6	BOX_35	237246	237251	+	NA
ivyp4	BOX_10	240307	240312	+	NA
ivyp4	BOX_35	240284	240289	+	NA
ivyp5	BOX_10	240318	240323	+	NA
ivyp5	BOX_35	240298	240304	+	NA
lpcAp1	BOX_10	243455	243461	+	NA
lpcAp1	BOX_35	243432	243438	+	NA
yafKp6	BOX_10	245999	246004	-	NA
yafKp6	BOX_35	246023	246028	-	NA
dinJp	BOX_10	246627	246632	-	NA
dinJp	BOX_35	246654	246659	-	NA
yafLp6	BOX_10	246631	246636	+	NA
yafLp6	BOX_35	246606	246611	+	NA
rayTp1	BOX_10	247535	247539	+	NA
rayTp1	BOX_35	247520	247525	+	NA
rayTp8	BOX_10	247613	247618	+	NA
rayTp8	BOX_35	247590	247595	+	NA
