Position	Strand	Coverage_WT1	Coverage_WT2	Coverage_WT3	MethylPercent_WT1	MethylPercent_WT2	MethylPercent_WT3	Coverage_Mean	MethylPercent_Mean
1769998	Plus	54	63	46	0.9815	1	1	54.33333333	0.993833333
1769999	Minus	39	58	61	1	0.9828	1	52.66666667	0.994266667
1770046	Plus	54	63	45	1	0.9841	1	54	0.9947
1770047	Minus	38	55	59	0.9737	0.8909	0.9492	50.66666667	0.937933333
1770336	Plus	47	63	44	0.8511	0.9524	0.9318	51.33333333	0.911766667
1770337	Minus	44	61	62	0.8864	0.8525	0.9677	55.66666667	0.9022
1770748	Plus	53	69	46	1	0.942	0.9783	56	0.973433333
1770749	Minus	42	68	63	0.881	0.9559	0.9365	57.66666667	0.924466667
1770915	Plus	51	65	50	0.9608	0.9692	0.96	55.33333333	0.963333333
1770916	Minus	45	60	56	0.9333	0.7833	0.8571	53.66666667	0.8579
1770952	Plus	51	65	51	0.9608	0.9538	0.902	55.66666667	0.938866667
1770953	Minus	46	64	57	0.9783	0.9844	0.9825	55.66666667	0.981733333
1771270	Plus	52	66	45	0.9231	0.9697	0.9111	54.33333333	0.934633333
1771271	Minus	45	68	59	0.9778	0.9412	0.9661	57.33333333	0.9617
1771809	Plus	57	67	46	0.9298	0.9254	0.8478	56.66666667	0.901
1771810	Minus	50	65	60	0.9	0.9231	0.9	58.33333333	0.9077
1772082	Plus	56	64	53	0.9286	0.9219	0.9434	57.66666667	0.9313
1772083	Minus	39	48	54	0.7692	0.7708	0.7778	47	0.7726
1772313	Plus	59	61	57	0.9153	0.9836	0.9474	59	0.948766667
1772314	Minus	46	56	65	0.9348	0.875	0.9538	55.66666667	0.9212
1772360	Plus	59	61	57	0.8644	0.9016	0.9825	59	0.916166667
1772361	Minus	43	56	61	0.9535	0.8393	0.9508	53.33333333	0.914533333
1772698	Plus	56	59	61	0.9107	0.9492	1	58.66666667	0.9533
1772699	Minus	43	54	64	0.9535	0.963	0.9688	53.66666667	0.961766667
1772722	Plus	58	63	59	0.9655	0.9841	1	60	0.9832
1772723	Minus	40	53	62	1	0.8868	0.9355	51.66666667	0.940766667
1773049	Plus	59	56	57	0.9322	0.9643	0.9649	57.33333333	0.9538
1773050	Minus	33	55	59	0.8788	0.9273	0.9322	49	0.912766667
1774336	Plus	62	60	60	0.9516	0.9333	0.95	60.66666667	0.944966667
1774337	Minus	40	56	55	1	0.9464	0.9818	50.33333333	0.976066667
1774345	Plus	62	61	67	0.9677	0.9672	0.9403	63.33333333	0.9584
1774346	Minus	40	57	54	0.975	0.9649	0.963	50.33333333	0.967633333
1774708	Plus	55	55	65	1	0.9273	0.9385	58.33333333	0.955266667
1774709	Minus	39	64	54	0.9744	0.9844	0.9815	52.33333333	0.9801
1775022	Plus	55	60	63	1	0.9667	0.9683	59.33333333	0.978333333
1775023	Minus	40	57	56	1	0.9474	1	51	0.982466667
1775026	Plus	56	60	64	0.9821	0.9833	0.9844	60	0.983266667
1775027	Minus	40	59	57	1	0.9831	0.9649	52	0.982666667
1775050	Plus	53	58	65	0.9811	1	0.9846	58.66666667	0.988566667
1775051	Minus	38	56	58	0.9211	1	0.931	50.66666667	0.9507
1775275	Plus	54	59	66	0.9815	0.9831	0.9697	59.66666667	0.9781
1775276	Minus	38	58	59	1	0.931	1	51.66666667	0.977
1775804	Plus	53	61	65	0.9245	0.9508	0.9385	59.66666667	0.937933333
1775805	Minus	39	59	58	0.9487	0.9492	0.9828	52	0.960233333
1776023	Plus	54	60	65	0.9444	0.9667	0.9846	59.66666667	0.965233333
1776024	Minus	40	56	59	0.95	0.9643	0.9831	51.66666667	0.9658
1776344	Plus	53	59	61	0.9623	0.9831	0.9672	57.66666667	0.970866667
1776345	Minus	36	56	56	0.8889	0.9643	0.9821	49.33333333	0.9451
1776350	Plus	53	60	62	0.9057	0.9833	0.9839	58.33333333	0.957633333
1776351	Minus	33	56	55	0.9091	0.9286	1	48	0.9459
1776619	Plus	51	60	58	0.9804	1	1	56.33333333	0.993466667
1776620	Minus	38	59	55	0.9211	0.9322	0.9818	50.66666667	0.945033333
1777293	Plus	60	53	60	0.8833	0.8868	0.9	57.66666667	0.890033333
1777294	Minus	41	66	51	0.9512	0.9848	0.9804	52.66666667	0.972133333
1777545	Plus	58	57	54	0.931	0.9649	0.9815	56.33333333	0.959133333
1777546	Minus	42	64	54	1	0.9844	1	53.33333333	0.9948
1777707	Plus	55	60	57	0.9636	1	0.9649	57.33333333	0.976166667
1777708	Minus	42	63	55	0.9762	0.9365	1	53.33333333	0.9709
1777722	Plus	54	58	55	0.8889	0.9655	0.9636	55.66666667	0.939333333
1777723	Minus	42	66	56	0.9524	0.9545	0.9643	54.66666667	0.957066667
1777925	Plus	57	57	58	0.9474	0.9123	0.9483	57.33333333	0.936
1777926	Minus	45	65	56	0.9333	0.9692	0.9464	55.33333333	0.949633333
1778033	Plus	56	63	56	1	1	1	58.33333333	1
1778034	Minus	44	66	55	0.9773	0.9545	0.9818	55	0.9712
1778066	Plus	57	59	53	0.9825	0.9322	0.9623	56.33333333	0.959
1778067	Minus	46	64	52	0.8913	0.9688	1	54	0.953366667
1778112	Plus	55	61	54	0.9636	0.9672	0.963	56.66666667	0.9646
1778113	Minus	47	66	56	1	0.9697	1	56.33333333	0.9899
1778321	Plus	57	58	53	0.9649	0.9655	0.9623	56	0.964233333
1778322	Minus	49	67	56	0.9592	0.9701	0.9464	57.33333333	0.958566667
1778519	Plus	55	60	57	0.9455	0.9833	0.9649	57.33333333	0.964566667
1778520	Minus	49	66	57	0.898	0.9394	0.9649	57.33333333	0.9341
1778550	Plus	49	54	51	0.9796	0.963	0.9412	51.33333333	0.961266667
1778551	Minus	49	66	56	0.9388	0.9545	0.9821	57	0.958466667
1779041	Plus	51	58	52	0.9608	0.9828	1	53.66666667	0.9812
1779042	Minus	50	65	57	1	1	1	57.33333333	1
1779212	Plus	53	58	53	0.9811	0.9655	0.9434	54.66666667	0.963333333
1779213	Minus	48	63	54	0.9583	0.9841	0.963	55	0.968466667
1779478	Plus	53	56	51	0.9245	0.8929	0.8627	53.33333333	0.893366667
1779479	Minus	49	63	57	0.9796	0.873	1	56.33333333	0.950866667
1779726	Plus	59	56	49	0.9831	0.9821	0.9592	54.66666667	0.9748
1779727	Minus	53	61	58	0.9811	0.9836	1	57.33333333	0.988233333
1779938	Plus	55	60	50	0.9455	0.9833	0.96	55	0.962933333
1779939	Minus	55	59	56	0.9455	0.9661	0.9286	56.66666667	0.946733333
1779956	Plus	56	61	51	1	0.9508	0.9608	56	0.970533333
1779957	Minus	53	58	55	0.9434	0.9655	0.9818	55.33333333	0.963566667
1780809	Plus	53	59	51	0.9811	0.9831	0.9412	54.33333333	0.968466667
1780810	Minus	53	61	57	0.9623	0.9508	1	57	0.971033333
1780827	Plus	51	56	45	1	1	0.9556	50.66666667	0.9852
1780828	Minus	54	61	60	0.9259	0.9508	0.9167	58.33333333	0.931133333
1781158	Plus	53	56	49	0.9623	0.9286	0.9184	52.66666667	0.936433333
1781159	Minus	62	59	62	1	0.9322	0.9677	61	0.966633333
1781178	Plus	51	53	48	0.9804	0.9811	0.9583	50.66666667	0.973266667
1781179	Minus	59	60	62	0.8983	0.9333	0.9677	60.33333333	0.9331
1781190	Plus	49	54	45	0.9184	0.963	0.9556	49.33333333	0.945666667
1781191	Minus	61	59	63	1	0.9492	1	61	0.983066667
1781924	Plus	46	58	50	0.9565	0.9483	0.9	51.33333333	0.934933333
1781925	Minus	55	57	63	0.9636	0.9825	0.9683	58.33333333	0.971466667
1781980	Plus	47	56	50	0.9362	0.9464	0.96	51	0.947533333
1781981	Minus	56	55	64	0.9107	0.9455	0.9688	58.33333333	0.941666667
1781987	Plus	47	58	49	0.9787	0.9138	0.9796	51.33333333	0.957366667
1781988	Minus	55	59	65	0.9636	0.9661	1	59.66666667	0.976566667
1782289	Plus	45	58	46	0.9778	0.9828	1	49.66666667	0.986866667
1782290	Minus	55	62	62	1	0.9677	0.9677	59.66666667	0.978466667
1782388	Plus	48	57	48	0.9792	0.9474	0.9583	51	0.961633333
1782389	Minus	59	60	65	0.9831	1	0.9692	61.33333333	0.9841
1782493	Plus	46	55	48	0.9565	0.9636	0.9792	49.66666667	0.966433333
1782494	Minus	60	62	61	0.9833	0.9839	0.9836	61	0.9836
1782610	Plus	47	57	46	0.9787	0.9825	1	50	0.987066667
1782611	Minus	57	61	62	0.9123	1	0.9516	60	0.954633333
1782640	Plus	48	57	44	0.9792	0.9649	0.9773	49.66666667	0.9738
1782641	Minus	61	63	61	0.9508	0.9365	0.9672	61.66666667	0.9515
1783200	Plus	46	55	53	1	0.9636	0.9811	51.33333333	0.981566667
1783201	Minus	53	60	61	0.9434	1	0.9836	58	0.975666667
1783257	Plus	45	54	54	0.9333	0.963	0.9444	51	0.9469
1783258	Minus	57	59	61	0.9825	0.9492	0.9836	59	0.971766667
1783899	Plus	45	57	55	1	0.9649	0.9818	52.33333333	0.982233333
1783900	Minus	59	52	62	0.9831	0.9231	0.9516	57.66666667	0.9526
1784076	Plus	48	52	53	1	0.9615	1	51	0.987166667
1784077	Minus	59	52	64	0.9831	1	1	58.33333333	0.994366667
1784280	Plus	50	50	54	0.96	1	0.8889	51.33333333	0.949633333
1784281	Minus	53	52	59	0.9434	0.9231	0.9153	54.66666667	0.927266667
1784455	Plus	49	51	55	0.9592	1	0.9818	51.66666667	0.980333333
1784456	Minus	58	51	61	0.9828	0.9608	0.9344	56.66666667	0.959333333
1784693	Plus	53	51	51	0.9811	0.9804	0.9804	51.66666667	0.980633333
1784694	Minus	52	48	51	0.8846	0.7708	0.8039	50.33333333	0.819766667
1784804	Plus	53	51	52	0.9245	0.9216	0.9423	52	0.929466667
1784805	Minus	58	52	56	0.9483	1	0.9821	55.33333333	0.9768
1785157	Plus	58	53	51	0.9828	1	1	54	0.994266667
1785158	Minus	61	47	55	0.9344	0.9787	0.9455	54.33333333	0.952866667
1785179	Plus	57	54	51	0.9825	1	0.9804	54	0.987633333
1785180	Minus	52	48	56	0.9808	0.9583	0.9821	52	0.973733333
1785185	Plus	58	53	47	0.931	0.9623	0.9362	52.66666667	0.943166667
1785186	Minus	61	50	59	0.9508	0.96	0.9661	56.66666667	0.958966667
1785425	Plus	58	52	48	0.9138	0.9231	1	52.66666667	0.945633333
1785426	Minus	66	55	58	0.9848	1	0.9828	59.66666667	0.9892
1785517	Plus	59	56	49	1	1	1	54.66666667	1
1785518	Minus	65	55	54	0.9846	0.9818	0.9815	58	0.982633333
1785670	Plus	57	54	47	0.9649	0.9815	1	52.66666667	0.982133333
1785671	Minus	64	52	56	0.8906	0.9231	0.9643	57.33333333	0.926
1785842	Plus	62	56	47	0.9677	0.9821	1	55	0.983266667
1785843	Minus	64	50	54	0.9688	0.92	0.963	56	0.9506
1785902	Plus	57	54	48	0.9123	1	0.9792	53	0.963833333
1785903	Minus	63	51	55	0.9683	0.9412	0.9273	56.33333333	0.9456
1786567	Plus	52	54	49	0.9615	1	0.9796	51.66666667	0.980366667
1786568	Minus	57	52	51	0.9825	0.9808	0.9804	53.33333333	0.981233333
1786603	Plus	56	57	49	0.9821	0.9825	0.9796	54	0.9814
1786604	Minus	52	53	55	0.9423	0.9623	0.9273	53.33333333	0.943966667
1787243	Plus	47	50	44	0.8723	0.74	0.9318	47	0.848033333
1787244	Minus	55	53	51	0.9091	0.9434	0.9608	53	0.937766667
1787461	Plus	46	54	48	0.9348	0.9074	0.9583	49.33333333	0.9335
1787462	Minus	56	57	50	0.8929	0.9649	0.94	54.33333333	0.9326
1787605	Plus	47	57	52	0.9787	0.9825	0.9808	52	0.980666667
1787606	Minus	58	55	49	0.9655	1	1	54	0.9885
1787764	Plus	47	54	48	0.9787	0.9444	0.9583	49.66666667	0.960466667
1787765	Minus	58	56	48	0.9828	0.9643	0.9792	54	0.975433333
1787904	Plus	46	57	46	0.9348	0.9123	0.9565	49.66666667	0.934533333
1787905	Minus	57	54	48	0.9298	0.9444	0.9167	53	0.9303
1788189	Plus	44	53	46	0.8636	0.9811	0.9783	47.66666667	0.941
1788190	Minus	55	52	52	0.9091	0.9615	0.9615	53	0.944033333
1788240	Plus	49	53	49	0.9184	0.8679	0.9796	50.33333333	0.921966667
1788241	Minus	55	54	51	0.9636	0.9259	0.9608	53.33333333	0.9501
1788618	Plus	45	57	48	0.9556	1	0.9792	50	0.978266667
1788619	Minus	48	55	55	0.9792	0.9818	0.9636	52.66666667	0.974866667
1788625	Plus	47	54	43	0.9787	0.9444	0.9302	48	0.9511
1788626	Minus	53	53	56	1	0.9811	0.9643	54	0.9818
1788760	Plus	47	60	51	0.9149	0.9833	0.902	52.66666667	0.9334
1788761	Minus	51	54	54	1	1	1	53	1
1788942	Plus	48	56	50	1	0.9643	0.96	51.33333333	0.974766667
1788943	Minus	51	56	56	0.9412	1	0.9286	54.33333333	0.9566
1789740	Plus	43	59	51	0.9767	0.9153	0.9804	51	0.957466667
1789741	Minus	48	54	54	0.9583	1	0.9815	52	0.979933333
1790090	Plus	43	62	50	0.9302	1	0.96	51.66666667	0.9634
1790091	Minus	47	55	57	0.9787	0.9818	1	53	0.986833333
1790417	Plus	45	65	47	1	0.9846	1	52.33333333	0.994866667
1790418	Minus	54	54	50	0.9815	0.9259	0.92	52.66666667	0.942466667
1791247	Plus	37	62	48	0.9189	0.9355	0.8958	49	0.916733333
1791248	Minus	53	54	50	0.9811	0.9815	0.96	52.33333333	0.9742
1791467	Plus	40	63	53	0.95	0.9365	0.9811	52	0.955866667
1791468	Minus	51	56	57	0.9804	0.9643	0.9298	54.66666667	0.958166667
1792516	Plus	45	58	56	0.9778	0.931	1	53	0.9696
1792517	Minus	53	59	58	0.9811	0.9492	0.931	56.66666667	0.953766667
1792709	Plus	44	59	55	0.9091	0.9492	0.9273	52.66666667	0.928533333
1792710	Minus	53	62	63	0.9434	1	0.9365	59.33333333	0.959966667
1792983	Plus	42	57	57	0.9048	1	0.9298	52	0.944866667
1792984	Minus	53	57	58	0.9623	0.9298	0.931	56	0.941033333
1793476	Plus	46	57	52	0.8913	0.9474	0.9038	51.66666667	0.914166667
1793477	Minus	47	54	54	0.9574	0.8889	1	51.66666667	0.948766667
1793600	Plus	49	63	53	0.9388	0.9683	1	55	0.969033333
1793601	Minus	51	57	52	0.9608	0.9298	0.9808	53.33333333	0.957133333
1793945	Plus	49	58	52	0.9592	0.931	0.9423	53	0.944166667
1793946	Minus	54	59	52	0.9259	0.9831	0.9808	55	0.963266667
1794340	Plus	51	57	54	0.9804	1	0.963	54	0.981133333
1794341	Minus	54	63	49	0.9444	0.9206	0.9796	55.33333333	0.9482
1794374	Plus	49	56	52	0.9796	0.9464	0.9808	52.33333333	0.968933333
1794375	Minus	52	63	48	0.9808	0.9206	0.9792	54.33333333	0.9602
1794497	Plus	48	55	54	1	1	0.9815	52.33333333	0.993833333
1794498	Minus	49	59	48	0.9796	0.9492	0.9583	52	0.962366667
1794542	Plus	46	56	55	1	0.9643	0.9818	52.33333333	0.982033333
1794543	Minus	51	60	51	1	0.95	0.9608	54	0.970266667
1794560	Plus	49	54	54	1	0.9815	1	52.33333333	0.993833333
1794561	Minus	51	60	52	0.9608	0.9333	0.9808	54.33333333	0.9583
1795040	Plus	50	61	54	1	0.9508	0.9444	55	0.965066667
1795041	Minus	54	61	46	1	0.9836	0.9783	53.66666667	0.9873
1795247	Plus	47	57	48	0.8936	0.8772	0.875	50.66666667	0.881933333
1795248	Minus	51	59	48	0.9608	0.9831	1	52.66666667	0.9813
1795394	Plus	46	60	52	1	0.9833	0.9808	52.66666667	0.988033333
1795395	Minus	53	65	47	0.9623	0.9846	0.9574	55	0.9681
1795452	Plus	45	60	50	0.9778	0.9667	1	51.66666667	0.9815
1795453	Minus	52	64	45	0.9808	0.9688	0.9111	53.66666667	0.953566667
1795663	Plus	46	63	51	1	0.9683	0.9804	53.33333333	0.9829
1795664	Minus	47	64	43	0.9362	0.8906	0.907	51.33333333	0.911266667
1795923	Plus	44	61	52	1	0.9836	0.9423	52.33333333	0.9753
1795924	Minus	44	60	40	0.9318	0.9833	1	48	0.9717
1796085	Plus	43	57	50	0.907	0.9474	1	50	0.951466667
1796086	Minus	49	62	42	0.9796	0.9355	0.9762	51	0.963766667
1796178	Plus	43	60	51	1	0.95	0.9804	51.33333333	0.9768
1796179	Minus	50	65	41	1	1	1	52	1
1796335	Plus	46	61	53	0.9783	0.9344	0.9623	53.33333333	0.958333333
1796336	Minus	48	65	44	0.8958	0.9385	0.9545	52.33333333	0.9296
1796374	Plus	46	61	52	0.9783	0.9672	0.9808	53	0.975433333
1796375	Minus	48	65	42	1	0.9385	0.9762	51.66666667	0.971566667
1796394	Plus	45	61	53	0.9778	0.9836	0.9811	53	0.980833333
1796395	Minus	49	65	44	0.9796	1	1	52.66666667	0.9932
1796413	Plus	44	62	51	0.9318	0.9839	0.9412	52.33333333	0.9523
1796414	Minus	46	63	44	0.9783	0.9841	0.9773	51	0.9799
1796565	Plus	47	57	51	0.9362	0.9123	0.8824	51.66666667	0.9103
1796566	Minus	49	61	46	0.9796	1	0.9783	52	0.985966667
1796695	Plus	47	60	51	1	0.95	0.9804	52.66666667	0.9768
1796696	Minus	51	60	47	0.9804	0.9	0.9787	52.66666667	0.953033333
1796703	Plus	49	62	53	0.9592	0.9677	0.9811	54.66666667	0.969333333
1796704	Minus	48	60	49	0.9792	0.9833	0.9592	52.33333333	0.9739
1796803	Plus	48	59	51	1	0.9831	0.9804	52.66666667	0.987833333
1796804	Minus	51	62	48	0.9412	0.9839	0.9792	53.66666667	0.9681
1796850	Plus	46	56	52	0.9783	0.9643	0.9615	51.33333333	0.968033333
1796851	Minus	48	60	47	1	0.9667	0.9574	51.66666667	0.9747
1797135	Plus	47	57	50	0.9149	0.9649	0.94	51.33333333	0.939933333
1797136	Minus	52	55	50	0.9808	0.9455	0.96	52.33333333	0.9621
1797217	Plus	46	60	53	0.9348	0.9833	0.9623	53	0.960133333
1797218	Minus	52	55	47	1	0.9636	1	51.33333333	0.987866667
1797555	Plus	46	57	53	0.9348	0.9825	0.9623	52	0.959866667
1797556	Minus	52	52	49	0.9808	0.9615	0.9592	51	0.967166667
1797729	Plus	46	61	52	0.9348	0.9672	0.9423	53	0.9481
1797730	Minus	50	54	48	0.92	0.9815	0.9583	50.66666667	0.953266667
1797986	Plus	42	63	50	0.9762	0.873	0.96	51.66666667	0.9364
1797987	Minus	52	54	49	0.8846	0.9815	1	51.66666667	0.955366667
1798419	Plus	41	58	52	0.9756	0.931	0.9808	50.33333333	0.962466667
1798420	Minus	48	50	45	0.9375	0.94	0.9778	47.66666667	0.951766667
1799469	Plus	43	52	53	0.907	0.9808	0.9623	49.33333333	0.950033333
1799470	Minus	49	60	51	0.9796	0.9667	1	53.33333333	0.9821
1799838	Plus	47	53	57	0.8936	0.9245	0.9649	52.33333333	0.927666667
1799839	Minus	48	58	54	0.9792	0.9655	1	53.33333333	0.981566667
1800127	Plus	41	51	57	0.9268	0.9216	0.9123	49.66666667	0.920233333
1800128	Minus	51	57	51	0.8824	0.9298	0.9608	53	0.924333333
1800145	Plus	40	51	52	0.925	0.9216	0.9038	47.66666667	0.9168
1800146	Minus	48	54	46	0.8958	0.8333	0.8043	49.33333333	0.844466667
1800472	Plus	37	51	58	0.8919	0.9412	0.9483	48.66666667	0.927133333
1800473	Minus	42	54	53	0.9286	0.9259	0.9811	49.66666667	0.9452
1800697	Plus	39	56	57	0.9231	0.9643	0.9298	50.66666667	0.939066667
1800698	Minus	45	54	52	0.9778	1	1	50.33333333	0.9926
1801146	Plus	40	58	56	0.975	1	1	51.33333333	0.991666667
1801147	Minus	38	53	48	0.9737	0.9623	0.9792	46.33333333	0.971733333
1801266	Plus	42	59	58	0.9286	0.9831	1	53	0.970566667
1801267	Minus	38	56	49	1	0.9821	1	47.66666667	0.994033333
1801324	Plus	41	58	60	1	0.9138	0.9167	53	0.9435
1801325	Minus	39	56	51	1	0.9464	0.9216	48.66666667	0.956
1801521	Plus	44	56	61	0.9318	0.9464	0.9508	53.66666667	0.943
1801522	Minus	37	58	47	0.9189	0.9655	1	47.33333333	0.961466667
1802250	Plus	54	61	54	0.9444	0.9672	0.963	56.33333333	0.9582
1802251	Minus	33	57	46	0.9091	0.9123	0.9348	45.33333333	0.918733333
1802362	Plus	56	63	50	0.9643	0.9841	0.96	56.33333333	0.969466667
1802363	Minus	35	51	45	0.9429	0.8627	0.9556	43.66666667	0.9204
1802395	Plus	55	64	53	1	1	1	57.33333333	1
1802396	Minus	37	54	48	0.8649	0.9815	0.9375	46.33333333	0.927966667
1802424	Plus	52	63	53	0.9808	0.9683	0.9434	56	0.964166667
1802425	Minus	35	58	46	0.9714	0.9655	0.9783	46.33333333	0.971733333
1802526	Plus	54	61	54	0.9815	1	0.9815	56.33333333	0.987666667
1802527	Minus	36	58	40	0.9722	0.9828	0.975	44.66666667	0.976666667
1802608	Plus	41	52	52	0.8293	0.75	0.7692	48.33333333	0.782833333
1802609	Minus	28	54	40	0.6786	0.8889	0.75	40.66666667	0.7725
1803488	Plus	54	57	44	0.7037	0.7368	0.8409	51.66666667	0.760466667
1803489	Minus	22	37	41	0.4091	0.4324	0.7561	33.33333333	0.532533333
1805979	Plus	56	66	54	0.9821	0.9394	0.9815	58.66666667	0.967666667
1805980	Minus	30	52	60	1	0.8846	0.95	47.33333333	0.944866667
1806144	Plus	58	66	54	0.9655	0.9394	0.9259	59.33333333	0.9436
1806145	Minus	33	52	57	0.9394	0.9808	0.9298	47.33333333	0.95
1806541	Plus	55	59	55	0.9455	0.9661	0.9091	56.33333333	0.940233333
1806542	Minus	30	56	59	0.9333	0.9286	0.9153	48.33333333	0.925733333
1806850	Plus	52	58	57	0.9808	0.9828	1	55.66666667	0.987866667
1806851	Minus	34	56	60	1	0.9821	0.9333	50	0.9718
1807413	Plus	47	52	49	0.8511	0.9423	0.9388	49.33333333	0.910733333
1807414	Minus	37	59	56	0.7568	0.8814	0.8571	50.66666667	0.831766667
1807638	Plus	49	48	52	0.7959	0.875	0.8269	49.66666667	0.8326
1807639	Minus	30	51	56	0.7667	0.8039	0.8036	45.66666667	0.7914
1807768	Plus	48	51	54	0.9792	0.9412	0.9259	51	0.948766667
1807769	Minus	36	58	60	0.9444	0.9483	0.9667	51.33333333	0.953133333
1808285	Plus	49	53	58	0.9796	1	0.9828	53.33333333	0.987466667
1808286	Minus	39	51	59	0.8205	1	0.9831	49.66666667	0.934533333
1808871	Plus	41	48	48	0.9756	0.9167	0.9167	45.66666667	0.936333333
1808872	Minus	39	44	57	0.7949	0.9091	0.8596	46.66666667	0.854533333
1809061	Plus	50	55	52	0.88	0.9273	0.9615	52.33333333	0.922933333
1809062	Minus	40	50	60	0.95	0.94	0.9167	50	0.935566667
1809157	Plus	49	52	61	0.9796	0.9423	0.9836	54	0.9685
1809158	Minus	35	46	50	0.7714	0.8696	0.86	43.66666667	0.833666667
1809456	Plus	49	57	61	0.9592	0.9649	0.9672	55.66666667	0.963766667
1809457	Minus	38	46	55	0.9474	0.9348	0.9636	46.33333333	0.9486
1809555	Plus	49	57	60	0.9592	0.9649	0.95	55.33333333	0.958033333
1809556	Minus	38	51	57	0.9474	0.9412	0.9474	48.66666667	0.945333333
1809914	Plus	48	56	60	0.9375	0.9821	0.9667	54.66666667	0.9621
1809915	Minus	40	45	59	0.975	1	0.9831	48	0.986033333
1809975	Plus	49	54	59	0.9796	0.963	0.9492	54	0.963933333
1809976	Minus	43	43	57	0.9767	0.9767	0.9649	47.66666667	0.972766667
1810064	Plus	48	55	55	0.9375	0.9091	1	52.66666667	0.948866667
1810065	Minus	41	44	57	0.9512	0.9773	0.8947	47.33333333	0.941066667
1810353	Plus	43	58	56	0.9767	1	0.8929	52.33333333	0.956533333
1810354	Minus	38	48	62	1	0.9792	0.9839	49.33333333	0.9877
1810403	Plus	42	59	61	0.9762	0.8983	0.9016	54	0.925366667
1810404	Minus	39	46	62	0.9487	1	1	49	0.9829
1810745	Plus	42	56	57	1	0.9107	0.9298	51.66666667	0.946833333
1810746	Minus	40	44	52	0.975	0.8182	0.9231	45.33333333	0.905433333
1810760	Plus	41	54	54	0.9756	0.9259	0.9074	49.66666667	0.9363
1810761	Minus	40	40	56	0.975	0.95	1	45.33333333	0.975
1810919	Plus	42	54	55	0.9762	0.9444	0.9455	50.33333333	0.955366667
1810920	Minus	39	42	57	0.8974	0.8333	0.8421	46	0.8576
1811168	Plus	42	52	53	1	0.9808	0.9623	49	0.981033333
1811169	Minus	43	45	57	0.9302	0.9778	0.9474	48.33333333	0.9518
1811412	Plus	44	51	57	0.9091	0.9804	0.9298	50.66666667	0.939766667
1811413	Minus	42	46	58	0.9524	1	0.9655	48.66666667	0.972633333
1811466	Plus	46	50	53	0.913	0.98	0.8679	49.66666667	0.9203
1811467	Minus	41	46	60	0.9756	0.9565	0.9833	49	0.9718
1812422	Plus	38	51	51	0.9474	0.9412	0.9412	46.66666667	0.943266667
1812423	Minus	38	52	53	0.9737	0.8846	0.9057	47.66666667	0.921333333
1812753	Plus	27	43	35	0.6296	0.4651	0.4857	35	0.5268
1812754	Minus	32	42	39	0.6562	0.6905	0.641	37.66666667	0.662566667
1813294	Plus	35	38	40	0.8286	0.6579	0.675	37.66666667	0.7205
1813295	Minus	37	34	36	0.6486	0.7059	0.6944	35.66666667	0.682966667
1813315	Plus	37	41	37	0.7568	0.5366	0.6486	38.33333333	0.647333333
1813316	Minus	37	42	33	0.7027	0.6667	0.6061	37.33333333	0.6585
1813449	Plus	39	44	43	0.8974	0.8409	0.8837	42	0.874
1813450	Minus	38	47	45	0.8947	0.8723	0.9778	43.33333333	0.914933333
1813786	Plus	43	49	42	0.9535	0.9184	0.9048	44.66666667	0.925566667
1813787	Minus	40	50	44	0.85	0.86	0.8636	44.66666667	0.857866667
1814138	Plus	42	51	44	0.9524	0.9412	0.9545	45.66666667	0.949366667
1814139	Minus	41	58	50	0.9756	0.9828	1	49.66666667	0.986133333
1814259	Plus	46	55	41	1	0.9636	0.9756	47.33333333	0.979733333
1814260	Minus	38	58	47	0.9474	1	0.9787	47.66666667	0.975366667
1814330	Plus	43	44	40	0.9535	0.8864	0.925	42.33333333	0.921633333
1814331	Minus	40	57	50	0.95	0.9825	0.92	49	0.950833333
1814642	Plus	48	53	41	0.9375	0.9057	0.9512	47.33333333	0.931466667
1814643	Minus	43	54	54	0.907	0.963	0.9259	50.33333333	0.931966667
1814921	Plus	48	50	41	0.9167	0.92	0.9268	46.33333333	0.921166667
1814922	Minus	43	55	49	0.907	0.9636	0.9592	49	0.943266667
1814930	Plus	50	55	42	0.98	0.9091	0.881	49	0.923366667
1814931	Minus	45	57	50	1	0.9474	0.98	50.66666667	0.9758
1815080	Plus	50	53	42	0.96	0.9623	1	48.33333333	0.9741
1815081	Minus	43	56	48	0.9302	0.9643	0.9792	49	0.9579
1815223	Plus	51	51	42	1	0.9804	1	48	0.993466667
1815224	Minus	41	57	52	0.9268	0.9649	0.9615	50	0.951066667
1815518	Plus	50	48	43	0.94	0.9792	0.9302	47	0.9498
1815519	Minus	39	57	51	0.9487	0.9649	0.9412	49	0.9516
1815620	Plus	52	50	43	1	1	1	48.33333333	1
1815621	Minus	41	56	47	0.9512	0.9643	0.9574	48	0.957633333
1815702	Plus	53	49	40	0.9811	0.8776	0.875	47.33333333	0.911233333
1815703	Minus	42	56	46	0.9524	0.8929	0.9348	48	0.9267
1815994	Plus	56	50	45	0.9643	1	0.9778	50.33333333	0.9807
1815995	Minus	39	61	55	0.9744	0.9508	0.9455	51.66666667	0.9569
1816551	Plus	54	51	43	0.963	0.9412	1	49.33333333	0.968066667
1816552	Minus	34	65	51	0.9118	0.9846	0.9412	50	0.945866667
